noise,constraint_complexity,mutual_complexity,soft,localclassifier,seq_length,ffn,num_constraints,num_examples,perceptron
True,1,0,False,0.855,10,0.887999892235,0,1000,0.91
True,1,0,False,0.856,20,0.861499965191,0,1000,0.888
True,1,0,False,0.865,10,0.879999876022,0,2000,0.894
True,1,0,False,0.845,10,0.861999988556,0,3000,0.87
True,1,0,False,0.8575,20,0.875,0,2000,0.887
True,1,0,False,0.846,10,0.870000004768,0,4000,0.886
True,12.8227823489,1.28227823489,False,0.773,10,0.863999962807,5,1000,0.894
True,1,0,False,0.856,10,0.867999851704,0,5000,0.881
True,1,0,False,0.8395,20,0.874499976635,0,3000,0.8925
True,15.767221328,0.788361066401,False,0.812,20,0.854499995708,5,1000,0.8805
True,22.7584950487,2.27584950487,False,0.768,10,0.87299990654,10,1000,0.878
True,1,0,False,0.856,20,0.881999969482,0,4000,0.902
True,13.3336079726,1.33336079726,False,0.754,10,0.85799998045,5,2000,0.871
True,1,0,False,0.8595,20,0.870000004768,0,5000,0.8985
True,36.33940043,1.8169700215,False,0.7895,20,0.85949999094,10,1000,0.8845
True,12.234995684,1.2234995684,False,0.76,10,0.87299990654,5,3000,0.896
True,42.601161509,4.2601161509,False,0.7,10,0.865999937057,20,1000,0.875
True,15.3329015822,0.766645079112,False,0.7915,20,0.868499934673,5,2000,0.8885
True,22.6333319057,2.26333319057,False,0.731,10,0.887999951839,10,2000,0.903
True,11.0112202523,1.10112202523,False,0.754,10,0.894999861717,5,4000,0.903
True,58.540761276,5.8540761276,False,0.66,10,0.881999909878,30,1000,0.906
True,11.0881812935,1.10881812935,False,0.704,10,0.878999948502,5,5000,0.895
True,24.1644510781,1.20822255391,False,0.829,20,0.879499971867,5,3000,0.8985
True,22.7584950487,2.27584950487,False,0.714,10,0.87299990654,10,3000,0.89
True,74.6505798217,3.73252899108,False,0.777,20,0.863499999046,20,1000,0.888
True,41.1117383856,2.05558691928,False,0.7895,20,0.868000030518,10,2000,0.883
True,40.6449931071,4.06449931071,False,0.702,10,0.87099981308,20,2000,0.887
True,21.5573038398,1.07786519199,False,0.805,20,0.865499973297,5,4000,0.8845
True,22.0455452408,2.20455452408,False,0.716,10,0.880999922752,10,4000,0.915
True,105.216820578,5.2608410289,False,0.7415,20,0.857000052929,30,1000,0.8925
True,20.6270337324,1.03135168662,False,0.7995,20,0.868000030518,5,5000,0.887
True,21.785045903,2.1785045903,False,0.7,10,0.878999948502,10,5000,0.907
True,36.9964006553,1.84982003277,False,0.8065,20,0.873000025749,10,3000,0.8965
True,59.4178062181,5.94178062181,False,0.704,10,0.878999948502,30,2000,0.907
True,34.843230224,3.4843230224,False,0.695,10,0.905999898911,20,3000,0.93
True,81.9320647245,4.09660323623,False,0.7675,20,0.870999991894,20,2000,0.884
True,38.069273076,1.9034636538,False,0.775,20,0.875999987125,10,4000,0.899
True,43.0925439703,4.30925439703,False,0.694,10,0.879999876022,20,4000,0.909
True,54.1268689588,5.41268689588,False,0.62,10,0.871999979019,30,3000,0.873
True,43.0993127641,2.15496563821,False,0.785,20,0.862000048161,10,5000,0.881
True,114.79338775,5.73966938752,False,0.7355,20,0.848500072956,30,2000,0.876
True,41.6564713026,4.16564713026,False,0.657,10,0.879999935627,20,5000,0.897
True,68.8765098868,3.44382549434,False,0.767,20,0.869499921799,20,3000,0.898
True,59.5911714628,5.95911714628,False,0.644,10,0.879999876022,30,4000,0.891
True,80.7295409699,4.0364770485,False,0.752,20,0.863499999046,20,4000,0.868
True,60.9401100374,6.09401100374,False,0.662,10,0.887999951839,30,5000,0.89
True,100.698270164,5.03491350819,False,0.715,20,0.870999991894,30,3000,0.883
True,81.2033954927,4.06016977464,False,0.7465,20,0.862499952316,20,5000,0.8725
True,113.364490951,5.66822454755,False,0.743,20,0.860499978065,30,4000,0.8825
True,115.375821227,5.76879106134,False,0.728,20,0.860000014305,30,5000,0.876
